,CODUSU,NRO_HOGAR,IDECIFR_x,IDECIFR_y,GDECIFR_x,GDECIFR_y,PDECIFR_x,PDECIFR_y,IDECCFR_x,IDECCFR_y,GDECCFR_x,GDECCFR_y,PDECCFR_x,PDECCFR_y
36948,TQRMNOPRUHJMPLCDEIJAH00793443,1,,,2.0,2.0,,,,,3.0,3.0,,
36949,TQRMNOPRXHJMPLCDEIJAH00793444,1,,,12.0,12.0,,,,,12.0,12.0,,
36950,TQRMNOPRXHJMPLCDEIJAH00793444,1,,,12.0,12.0,,,,,12.0,12.0,,
36951,TQRMNOPRXHJMPLCDEIJAH00793444,1,,,12.0,12.0,,,,,12.0,12.0,,
36952,TQRMNOPRXHJMPLCDEIJAH00793444,1,,,12.0,12.0,,,,,12.0,12.0,,
36953,TQRMNORYWHJMPLCDEIJAH00793506,1,,,7.0,7.0,,,,,4.0,4.0,,
36954,TQRMNORYWHJMPLCDEIJAH00793506,1,,,7.0,7.0,,,,,4.0,4.0,,
36955,TQRMNORYWHJMPLCDEIJAH00793506,1,,,7.0,7.0,,,,,4.0,4.0,,
36956,TQRMNORYWHJMPLCDEIJAH00793506,1,,,7.0,7.0,,,,,4.0,4.0,,
36957,TQRMNOPUVHMOMLCDEHPJB00801286,1,9.0,9.0,9.0,9.0,,,7.0,7.0,7.0,7.0,,
36958,TQRMNOPUVHMOMLCDEHPJB00801286,1,9.0,9.0,9.0,9.0,,,7.0,7.0,7.0,7.0,,
36959,TQRMNOPUVHMOMLCDEHPJB00801286,1,9.0,9.0,9.0,9.0,,,7.0,7.0,7.0,7.0,,
36960,TQRMNOPUVHMOMLCDEHPJB00801286,1,9.0,9.0,9.0,9.0,,,7.0,7.0,7.0,7.0,,
36961,TQRMNOQTWHMOMLCDEHPJB00801287,1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
36962,TQRMNOQTWHMOMLCDEHPJB00801287,1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
36963,TQRMNOQTWHMOMLCDEHPJB00801287,1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
36964,TQRMNOQTWHMOMLCDEHPJB00801287,1,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,,
36965,TQRMNOQXQHMKLMCDEGKDB00799886,1,8.0,8.0,,,8.0,8.0,9.0,9.0,,,9.0,9.0
36966,TQRMNOQXQHMKLMCDEGKDB00799886,1,8.0,8.0,,,8.0,8.0,9.0,9.0,,,9.0,9.0
36967,TQRMNOPPSHLMLLCDEGKDB00716331,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
36968,TQRMNOPPSHLMLLCDEGKDB00716331,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
36969,TQRMNOPPSHLMLLCDEGKDB00716331,1,12.0,12.0,,,12.0,12.0,12.0,12.0,,,12.0,12.0
36970,TQRMNORXRHLMLLCDEGKDB00716337,1,7.0,7.0,,,7.0,7.0,10.0,10.0,,,10.0,10.0
36971,TQRMNOPWWHLOKTCDEGJBF00716123,1,3.0,3.0,3.0,3.0,,,8.0,8.0,7.0,7.0,,
36972,TQRMNORWRHKOOPCDEIIAD00779901,1,,,12.0,12.0,,,,,12.0,12.0,,
36973,TQRMNORWRHKOOPCDEIIAD00779901,1,,,12.0,12.0,,,,,12.0,12.0,,
36974,TQRMNOQQXHLLOQCDEIIAD00718247,1,,,10.0,10.0,,,,,10.0,10.0,,
36975,TQRMNOQQXHLLOQCDEIIAD00718247,1,,,10.0,10.0,,,,,10.0,10.0,,
36976,TQRMNORRYHMMOPCDEIIAD00801779,1,,,12.0,12.0,,,,,12.0,12.0,,
36977,TQRMNOSSUHMNKMCDEIJAH00802333,1,,,12.0,12.0,,,,,12.0,12.0,,
